"Specificity","Sensitivity","Threshold"
0,1,-Inf
0.0833333333333333,1,0.0000000000290824586635097
0.0833333333333333,0.9,0.00000000188986537530411
0.166666666666667,0.9,0.0000000169191448073924
0.25,0.9,0.000117351481074834
0.333333333333333,0.9,0.000648031425785067
0.416666666666667,0.9,0.00184462345984149
0.5,0.9,0.00449674767870228
0.583333333333333,0.9,0.00795837628487533
0.666666666666667,0.9,0.0206057443305458
0.75,0.9,0.0879885680855753
0.75,0.8,0.258402473692258
0.833333333333333,0.8,0.479342166597142
0.833333333333333,0.7,0.738501820390199
0.833333333333333,0.6,0.929980727465477
0.916666666666667,0.6,0.983897990270457
1,0.6,0.999321009472324
1,0,Inf
