"Cohort","Model_1","Model_2","AUC_1","AUC_2","Difference","P_Value","FDR_Adjusted_P"
"FengQ_2015","LogisticRegression","RandomForest",0.79543834640057,0.796507483962937,-0.00106913756236637,0.981782596495042,0.981782596495042
"FengQ_2015","LogisticRegression","SVM",0.79543834640057,0.699572344975053,0.0958660014255167,0.0553234960964423,0.0829852441446634
"FengQ_2015","LogisticRegression","XGBoost",0.79543834640057,0.612972202423378,0.182466143977192,0.00314346668084567,0.009430400042537
"FengQ_2015","RandomForest","SVM",0.796507483962937,0.699572344975053,0.0969351389878831,0.0415991328444912,0.0829852441446634
"FengQ_2015","RandomForest","XGBoost",0.796507483962937,0.612972202423378,0.183535281539558,0.000374527663416818,0.00224716598050091
"FengQ_2015","SVM","XGBoost",0.699572344975053,0.612972202423378,0.086600142551675,0.123305963408003,0.147967156089604
"VogtmannE_2016","LogisticRegression","RandomForest",0.601701183431953,0.643676035502959,-0.0419748520710059,0.34908342694529,0.523625140417936
"VogtmannE_2016","LogisticRegression","SVM",0.601701183431953,0.55103550295858,0.0506656804733728,0.275797136542136,0.523625140417936
"VogtmannE_2016","LogisticRegression","XGBoost",0.601701183431953,0.579511834319527,0.0221893491124261,0.707473377213261,0.707473377213261
"VogtmannE_2016","RandomForest","SVM",0.643676035502959,0.55103550295858,0.0926405325443788,0.0324732698547573,0.194839619128544
"VogtmannE_2016","RandomForest","XGBoost",0.643676035502959,0.579511834319527,0.064164201183432,0.0828665918834385,0.248599775650316
"VogtmannE_2016","SVM","XGBoost",0.55103550295858,0.579511834319527,-0.0284763313609467,0.614255795543275,0.707473377213261
