"ROC","Sens","Spec","Resample"
0.95,0.75,1,"Fold09.Rep4"
1,1,1,"Fold10.Rep4"
0.88,0.4,0.8,"Fold01.Rep5"
0.95,0.75,0.8,"Fold09.Rep3"
1,1,1,"Fold07.Rep2"
0.95,0.75,0.8,"Fold05.Rep1"
0.88,0.8,0.8,"Fold08.Rep3"
1,1,1,"Fold06.Rep2"
0.88,0.6,1,"Fold04.Rep1"
1,1,0.8,"Fold07.Rep3"
0.95,0.75,1,"Fold05.Rep2"
1,1,0.8,"Fold03.Rep1"
1,1,1,"Fold02.Rep5"
0.95,1,0.8,"Fold10.Rep3"
0.84,0.8,0.6,"Fold08.Rep2"
0.96,0.8,1,"Fold06.Rep1"
0.95,0.75,1,"Fold05.Rep5"
1,1,1,"Fold03.Rep4"
0.75,0.25,1,"Fold01.Rep3"
0.85,0.75,1,"Fold04.Rep5"
0.9,0.75,0.8,"Fold02.Rep4"
1,0.6,1,"Fold10.Rep2"
1,1,0.8,"Fold03.Rep5"
0.84,0.6,0.8,"Fold01.Rep4"
0.75,0.75,0.75,"Fold09.Rep2"
1,1,1,"Fold07.Rep1"
0.95,0.75,0.8,"Fold06.Rep5"
1,0.8,1,"Fold04.Rep4"
1,0.8,1,"Fold02.Rep3"
1,0.75,1,"Fold10.Rep1"
0.96,0.8,1,"Fold09.Rep5"
1,1,1,"Fold07.Rep4"
0.9,0.5,1,"Fold09.Rep1"
0.9,0.5,1,"Fold08.Rep5"
0.84,0.4,1,"Fold06.Rep4"
0.9,0.6,1,"Fold08.Rep1"
1,0.75,1,"Fold07.Rep5"
0.9,0.75,0.8,"Fold05.Rep4"
1,1,1,"Fold03.Rep3"
0.95,0.75,1,"Fold01.Rep2"
0.92,0.8,0.6,"Fold10.Rep5"
1,0.75,1,"Fold08.Rep4"
0.9,0.75,0.8,"Fold06.Rep3"
0.95,1,0.8,"Fold04.Rep2"
0.65,0.5,0.6,"Fold02.Rep1"
1,1,0.8,"Fold05.Rep3"
1,0.75,1,"Fold03.Rep2"
1,1,1,"Fold01.Rep1"
0.96,0.6,1,"Fold04.Rep3"
1,0.5,1,"Fold02.Rep2"
