"mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
2,0.9382,0.773,0.911,0.0772932396653108,0.190918830920368,0.123424768459932
4,0.9344,0.778,0.915,0.0839620905710501,0.193559567375134,0.122994109698018
6,0.9252,0.778,0.906,0.0899487382357534,0.186853647848485,0.124801883816237
8,0.91825,0.777,0.897,0.0881068605589316,0.18686729985501,0.125929199415013
10,0.9227,0.758,0.893,0.0878365829601906,0.18388106182519,0.132098448136229
12,0.92005,0.778,0.902,0.0874153964162621,0.188755321590072,0.131304289063726
14,0.91905,0.777,0.897,0.0897486427616096,0.195409042466184,0.138287632808415
16,0.91235,0.772,0.889,0.0910741036021699,0.188484828599664,0.131820069079958
18,0.91265,0.771,0.898,0.0899920773156828,0.188465879551451,0.124932634909003
20,0.90805,0.762,0.894,0.094689732327023,0.193664974760486,0.131179888951417
