"Specificity","Sensitivity","Threshold"
0,1,-Inf
0,0.9,0.062
0.0833333333333333,0.9,0.083
0.166666666666667,0.9,0.0935
0.25,0.9,0.103
0.333333333333333,0.9,0.1225
0.416666666666667,0.9,0.164
0.5,0.9,0.2755
0.5,0.8,0.3665
0.583333333333333,0.8,0.3785
0.666666666666667,0.8,0.422
0.75,0.8,0.4765
0.833333333333333,0.8,0.5015
0.916666666666667,0.8,0.5385
0.916666666666667,0.7,0.6325
0.916666666666667,0.6,0.708
0.916666666666667,0.5,0.7315
0.916666666666667,0.4,0.7465
1,0.4,0.7675
1,0.3,0.7885
1,0.2,0.8235
1,0.1,0.89
1,0,Inf
