"sigma","C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
0.005,0.25,0.8697,0.822,0.713,0.126585495832272,0.209264991660559,0.190276383297603
0.005,0.5,0.8697,0.821,0.713,0.126585495832272,0.203813139709802,0.194519292364641
0.005,1,0.8819,0.729,0.814,0.11686329882493,0.214545081129199,0.165072649436049
0.005,2,0.87665,0.703,0.838,0.113851418121002,0.194938504170324,0.170999462942229
0.005,4,0.8754,0.675,0.852,0.116355542390115,0.196979746187681,0.158745078663875
0.005,8,0.89575,0.697,0.872,0.106959664817908,0.223015053944155,0.156218057959549
0.01,0.25,0.85415,0.776,0.696,0.134949546505503,0.210257373866664,0.202746448671684
0.01,0.5,0.8607,0.743,0.75,0.131967103198224,0.215001186517846,0.186262925862933
0.01,1,0.8723,0.704,0.818,0.124820115464174,0.204000800318558,0.167136752025253
0.01,2,0.8718,0.681,0.857,0.1265939596199,0.197920309669301,0.169335435736051
0.01,4,0.88825,0.694,0.861,0.109887755812697,0.228491057298324,0.16044898737923
0.01,8,0.9045,0.718,0.856,0.107328410754572,0.225143944884972,0.157674425604776
0.02,0.25,0.8354,0.757,0.671,0.146348723874149,0.20971555079416,0.176730510861559
0.02,0.5,0.85245,0.705,0.774,0.134598315861132,0.212192153964471,0.173275762286358
0.02,1,0.86905,0.701,0.783,0.128309147159889,0.212249852767911,0.178888290304769
0.02,2,0.87965,0.7,0.797,0.116476775735398,0.219925775976295,0.167029876345032
0.02,4,0.88685,0.703,0.814,0.120274781060635,0.213668157741515,0.161321076725635
0.02,8,0.8943,0.713,0.822,0.118387378670918,0.22310654542672,0.155235173796641
0.05,0.25,0.8251,0.779,0.66,0.157179346412865,0.196679061064528,0.176993024190912
0.05,0.5,0.84215,0.692,0.768,0.136709704729938,0.223460721106755,0.17864569884071
0.05,1,0.85945,0.705,0.788,0.131042026675041,0.218120449780035,0.15437827911084
0.05,2,0.86615,0.71,0.81,0.114496691423546,0.204040812244081,0.153861851632414
0.05,4,0.8659,0.73,0.733,0.129585052048011,0.214761376833899,0.194466827347945
0.05,8,0.854,0.72,0.734,0.126058781235306,0.225198325291921,0.185560375784337
