"Specificity","Sensitivity","Threshold"
0,1,-Inf
0,0.9,0.0917592126626907
0.0833333333333333,0.9,0.146312478225332
0.0833333333333333,0.8,0.171107242833025
0.166666666666667,0.8,0.193363702512832
0.25,0.8,0.212712363763453
0.333333333333333,0.8,0.224701799041663
0.416666666666667,0.8,0.238627710541069
0.5,0.8,0.298687995204955
0.5,0.7,0.359292675209602
0.583333333333333,0.7,0.373249057875862
0.666666666666667,0.7,0.377960068292235
0.75,0.7,0.43514180208817
0.75,0.6,0.492591900140094
0.833333333333333,0.6,0.508912029008073
0.833333333333333,0.5,0.537387911230959
0.916666666666667,0.5,0.644504373191682
1,0.5,0.738298386146893
1,0.4,0.779319022095102
1,0.3,0.826821983596733
1,0.2,0.901641865089624
1,0.1,0.978597105020862
1,0,Inf
