"Feature","CRC","healthy","MeanImportance","Microbe"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis",100,100,100,"Peptostreptococcus Peptostreptococcus stomatis"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii",87.9746835443038,87.9746835443038,87.9746835443038,"Eubacterium Eubacterium hallii"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",85.9177215189873,85.9177215189873,85.9177215189873,"Anaerostipes Anaerostipes hadrus"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",83.5443037974683,83.5443037974683,83.5443037974683,"Blautia Blautia wexlerae"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes",81.1708860759494,81.1708860759494,81.1708860759494,"Dialister Dialister pneumosintes"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia",80.0632911392405,80.0632911392405,80.0632911392405,"Bilophila Bilophila wadsworthia"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",75.9493670886076,75.9493670886076,75.9493670886076,"Streptococcus Streptococcus salivarius"
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum",73.4177215189873,73.4177215189873,73.4177215189873,"Fusobacterium Fusobacterium nucleatum"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",70.7278481012658,70.7278481012658,70.7278481012658,"Lachnospiraceae unclassified Eubacterium rectale"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans",69.1455696202531,69.1455696202531,69.1455696202531,"Ruminococcus Ruminococcus bicirculans"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans",66.9303797468355,66.9303797468355,66.9303797468355,"Ruthenibacterium Ruthenibacterium lactatiformans"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii",63.9240506329114,63.9240506329114,63.9240506329114,"Intestinibacter Intestinibacter bartlettii"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris",57.1202531645569,57.1202531645569,57.1202531645569,"Turicimonas Turicimonas muris"
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger",56.9620253164556,56.9620253164556,56.9620253164556,"Desulfovibrio Desulfovibrio piger"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii",48.2594936708861,48.2594936708861,48.2594936708861,"Flavonifractor Flavonifractor plautii"
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra",45.253164556962,45.253164556962,45.253164556962,"Parvimonas Parvimonas micra"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241",35.7594936708861,35.7594936708861,35.7594936708861,"Oscillibacter Oscillibacter sp CAG 241"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi",17.0886075949367,17.0886075949367,17.0886075949367,"Hungatella Hungatella hathewayi"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_timidum",2.05696202531643,2.05696202531643,2.05696202531643,"Mogibacterium Mogibacterium timidum"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0,0,0,"Bacteroides Bacteroides uniformis"
