"max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","best_nrounds","best_cv_auc"
5,0.05,0,0.8,1,0.8,3,1
5,0.05,0.5,0.8,1,0.8,3,1
5,0.1,0,0.8,1,0.8,4,1
5,0.1,0.5,0.8,1,0.8,4,1
5,0.1,0,0.5,1,0.8,7,1
5,0.1,0.5,0.5,1,0.8,7,1
5,0.05,0,0.5,1,0.8,8,1
5,0.05,0.5,0.5,1,0.8,9,1
5,0.1,0,0.8,1,1,9,1
5,0.1,0.5,0.8,1,1,9,1
5,0.1,0,0.5,1,1,11,1
5,0.1,0.5,0.5,1,1,11,1
5,0.05,0,0.5,1,1,13,1
5,0.05,0.5,0.5,1,1,13,1
5,0.05,0,0.8,1,1,14,1
5,0.05,0.5,0.8,1,1,14,1
3,0.1,0,0.8,1,0.8,18,1
3,0.1,0.5,0.8,1,0.8,18,1
3,0.1,0,0.8,1,1,22,1
3,0.1,0.5,0.8,1,1,22,1
3,0.1,0,0.5,1,1,25,1
3,0.1,0.5,0.5,1,1,25,1
3,0.1,0,0.5,1,0.8,26,1
3,0.1,0.5,0.5,1,0.8,26,1
2,0.1,0,0.8,1,0.8,29,1
2,0.1,0.5,0.8,1,0.8,29,1
3,0.05,0,0.8,1,0.8,29,1
3,0.05,0.5,0.8,1,0.8,29,1
2,0.1,0,0.5,1,0.8,35,1
2,0.1,0.5,0.5,1,0.8,35,1
3,0.05,0,0.5,1,1,37,1
3,0.05,0.5,0.5,1,1,37,1
2,0.1,0,0.8,1,1,38,1
2,0.1,0.5,0.8,1,1,38,1
3,0.05,0,0.8,1,1,39,1
3,0.05,0.5,0.8,1,1,39,1
2,0.1,0,0.5,1,1,42,1
2,0.1,0.5,0.5,1,1,42,1
3,0.05,0,0.5,1,0.8,45,1
3,0.05,0.5,0.5,1,0.8,45,1
2,0.05,0,0.8,1,0.8,48,1
2,0.05,0.5,0.8,1,0.8,48,1
2,0.05,0,0.5,1,0.8,71,1
2,0.05,0.5,0.5,1,0.8,71,1
2,0.05,0,0.8,1,1,73,1
2,0.05,0.5,0.8,1,1,73,1
2,0.05,0,0.5,1,1,91,1
2,0.05,0.5,0.5,1,1,91,1
