"Specificity","Sensitivity","Threshold"
0,1,-Inf
0.333333333333333,0.9,0.41482762992382
0.416666666666667,0.9,0.422637760639191
0.5,0.9,0.437020763754845
0.5,0.8,0.451590076088905
0.5,0.7,0.458128452301025
0.583333333333333,0.7,0.46740810573101
0.666666666666667,0.7,0.476671442389488
0.75,0.7,0.480412274599075
0.833333333333333,0.7,0.482468575239182
0.833333333333333,0.6,0.484007313847542
0.833333333333333,0.5,0.49049137532711
0.833333333333333,0.4,0.495781779289246
0.833333333333333,0.3,0.496013343334198
0.916666666666667,0.3,0.49930365383625
1,0.3,0.504619210958481
1,0.2,0.50847914814949
1,0,Inf
