"max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","saved_best_nrounds","saved_cv_auc","manual_mean_fold_auc","manual_sd_fold_auc","manual_min_fold_auc","manual_max_fold_auc","repeated_oof_predictions_per_sample","manual_pooled_oof_auc","all_fold_auc_equal_1"
5,0.05,0,0.8,1,0.8,3,1,0.79895,0.173952469757385,0.2,1,5,0.84812529663028,FALSE
5,0.05,0.5,0.8,1,0.8,3,1,0.79905,0.178020500138011,0.2,1,5,0.844803037494067,FALSE
5,0.1,0,0.8,1,0.8,4,1,0.79045,0.17835321667399,0.2,1,5,0.822021831988609,FALSE
5,0.1,0.5,0.8,1,0.8,4,1,0.79445,0.17587122056917,0.2,1,5,0.820598006644518,FALSE
5,0.1,0,0.5,1,0.8,7,1,0.84825,0.137152389921665,0.25,1,5,0.863312766967252,FALSE
5,0.1,0.5,0.5,1,0.8,7,1,0.84905,0.136504176881597,0.25,1,5,0.864736592311343,FALSE
5,0.05,0,0.5,1,0.8,8,1,0.83905,0.130754180094729,0.4,1,5,0.86046511627907,FALSE
5,0.05,0.5,0.5,1,0.8,9,1,0.8531,0.127731941892355,0.4,1,5,0.864736592311343,FALSE
5,0.1,0,0.8,1,1,9,1,0.83395,0.153898397771824,0.25,1,5,0.840531561461794,FALSE
5,0.1,0.5,0.8,1,1,9,1,0.8391,0.152618104149821,0.25,1,5,0.840531561461794,FALSE
5,0.1,0,0.5,1,1,11,1,0.86875,0.116141462388392,0.4,1,5,0.875652586616042,FALSE
5,0.1,0.5,0.5,1,1,11,1,0.87545,0.126062514860926,0.3,1,5,0.881822496440437,FALSE
5,0.05,0,0.5,1,1,13,1,0.86365,0.133727191455941,0.4,1,5,0.87327954437589,FALSE
5,0.05,0.5,0.5,1,1,13,1,0.8624,0.131695148904194,0.4,1,5,0.874228761271951,FALSE
5,0.05,0,0.8,1,1,14,1,0.8418,0.166322805141701,0.15,1,5,0.841006169909824,FALSE
5,0.05,0.5,0.8,1,1,14,1,0.84235,0.168837872057238,0.15,1,5,0.844328429046037,FALSE
3,0.1,0,0.8,1,0.8,18,1,0.87185,0.127039293696309,0.35,1,5,0.880873279544376,FALSE
3,0.1,0.5,0.8,1,0.8,18,1,0.87135,0.124167852571609,0.35,1,5,0.874703369719981,FALSE
3,0.1,0,0.8,1,1,22,1,0.86975,0.128520079031588,0.3,1,5,0.87327954437589,FALSE
3,0.1,0.5,0.8,1,1,22,1,0.86335,0.142896075052138,0.2,1,5,0.871855719031799,FALSE
3,0.1,0,0.5,1,1,25,1,0.90005,0.120367729504724,0.35,1,5,0.895586141433317,FALSE
3,0.1,0.5,0.5,1,1,25,1,0.8965,0.124925487995927,0.35,1,5,0.894162316089226,FALSE
3,0.1,0,0.5,1,0.8,26,1,0.8905,0.099321678994907,0.5,1,5,0.88656858092074,FALSE
3,0.1,0.5,0.5,1,0.8,26,1,0.8853,0.106510802364869,0.5,1,5,0.883720930232558,FALSE
2,0.1,0,0.8,1,0.8,29,1,0.89095,0.115653522405926,0.3,1,5,0.887992406264832,FALSE
2,0.1,0.5,0.8,1,0.8,29,1,0.88895,0.121588224876307,0.25,1,5,0.884670147128619,FALSE
3,0.05,0,0.8,1,0.8,29,1,0.87755,0.118026382816794,0.3,1,5,0.879449454200285,FALSE
3,0.05,0.5,0.8,1,0.8,29,1,0.88135,0.112203361748903,0.35,1,5,0.877551020408163,FALSE
2,0.1,0,0.5,1,0.8,35,1,0.90105,0.110062702444505,0.4,1,5,0.897959183673469,FALSE
2,0.1,0.5,0.5,1,0.8,35,1,0.89945,0.109601888576757,0.4,1,5,0.896060749881348,FALSE
3,0.05,0,0.5,1,1,37,1,0.88285,0.136520173062669,0.25,1,5,0.883720930232558,FALSE
3,0.05,0.5,0.5,1,1,37,1,0.8843,0.139173984491297,0.2,1,5,0.881347887992406,FALSE
2,0.1,0,0.8,1,1,38,1,0.8754,0.116495773769362,0.3,1,5,0.878974845752254,FALSE
2,0.1,0.5,0.8,1,1,38,1,0.87595,0.116203649965507,0.3,1,5,0.877076411960133,FALSE
3,0.05,0,0.8,1,1,39,1,0.8646,0.134790426899218,0.25,1,5,0.864261983863313,FALSE
3,0.05,0.5,0.8,1,1,39,1,0.861,0.134062314173793,0.25,1,5,0.864736592311343,FALSE
2,0.1,0,0.5,1,1,42,1,0.8877,0.110467282071042,0.35,1,5,0.888941623160892,FALSE
2,0.1,0.5,0.5,1,1,42,1,0.88795,0.111293060916498,0.35,1,5,0.891314665401044,FALSE
3,0.05,0,0.5,1,0.8,45,1,0.91045,0.106736957335426,0.35,1,5,0.89890840056953,FALSE
3,0.05,0.5,0.5,1,0.8,45,1,0.9055,0.107693821473999,0.35,1,5,0.897959183673469,FALSE
2,0.05,0,0.8,1,0.8,48,1,0.8792,0.11332907655071,0.45,1,5,0.877551020408163,FALSE
