"max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","best_nrounds","best_cv_auc","saved_best_nrounds","saved_cv_auc","manual_mean_fold_auc","manual_sd_fold_auc","manual_min_fold_auc","manual_max_fold_auc","repeated_oof_predictions_per_sample","manual_pooled_oof_auc","all_fold_auc_equal_1","Mean_Fold_AUC_Difference","Pooled_OOF_AUC_Difference","Manual_Reproduces_Perfect_Mean","Manual_Reproduces_Perfect_Pooled"
5,0.05,0,0.8,1,0.8,3,1,3,1,0.79895,0.173952469757385,0.2,1,5,0.84812529663028,FALSE,-0.20105,-0.15187470336972,FALSE,FALSE
5,0.05,0.5,0.8,1,0.8,3,1,3,1,0.79905,0.178020500138011,0.2,1,5,0.844803037494067,FALSE,-0.20095,-0.155196962505933,FALSE,FALSE
5,0.1,0,0.8,1,0.8,4,1,4,1,0.79045,0.17835321667399,0.2,1,5,0.822021831988609,FALSE,-0.20955,-0.177978168011391,FALSE,FALSE
5,0.1,0.5,0.8,1,0.8,4,1,4,1,0.79445,0.17587122056917,0.2,1,5,0.820598006644518,FALSE,-0.20555,-0.179401993355482,FALSE,FALSE
5,0.1,0,0.5,1,0.8,7,1,7,1,0.84825,0.137152389921665,0.25,1,5,0.863312766967252,FALSE,-0.15175,-0.136687233032748,FALSE,FALSE
5,0.1,0.5,0.5,1,0.8,7,1,7,1,0.84905,0.136504176881597,0.25,1,5,0.864736592311343,FALSE,-0.15095,-0.135263407688657,FALSE,FALSE
5,0.05,0,0.5,1,0.8,8,1,8,1,0.83905,0.130754180094729,0.4,1,5,0.86046511627907,FALSE,-0.16095,-0.13953488372093,FALSE,FALSE
5,0.05,0.5,0.5,1,0.8,9,1,9,1,0.8531,0.127731941892355,0.4,1,5,0.864736592311343,FALSE,-0.1469,-0.135263407688657,FALSE,FALSE
5,0.1,0,0.8,1,1,9,1,9,1,0.83395,0.153898397771824,0.25,1,5,0.840531561461794,FALSE,-0.16605,-0.159468438538206,FALSE,FALSE
5,0.1,0.5,0.8,1,1,9,1,9,1,0.8391,0.152618104149821,0.25,1,5,0.840531561461794,FALSE,-0.1609,-0.159468438538206,FALSE,FALSE
5,0.1,0,0.5,1,1,11,1,11,1,0.86875,0.116141462388392,0.4,1,5,0.875652586616042,FALSE,-0.13125,-0.124347413383958,FALSE,FALSE
5,0.1,0.5,0.5,1,1,11,1,11,1,0.87545,0.126062514860926,0.3,1,5,0.881822496440437,FALSE,-0.12455,-0.118177503559563,FALSE,FALSE
5,0.05,0,0.5,1,1,13,1,13,1,0.86365,0.133727191455941,0.4,1,5,0.87327954437589,FALSE,-0.13635,-0.12672045562411,FALSE,FALSE
5,0.05,0.5,0.5,1,1,13,1,13,1,0.8624,0.131695148904194,0.4,1,5,0.874228761271951,FALSE,-0.1376,-0.125771238728049,FALSE,FALSE
5,0.05,0,0.8,1,1,14,1,14,1,0.8418,0.166322805141701,0.15,1,5,0.841006169909824,FALSE,-0.1582,-0.158993830090176,FALSE,FALSE
5,0.05,0.5,0.8,1,1,14,1,14,1,0.84235,0.168837872057238,0.15,1,5,0.844328429046037,FALSE,-0.15765,-0.155671570953963,FALSE,FALSE
3,0.1,0,0.8,1,0.8,18,1,18,1,0.87185,0.127039293696309,0.35,1,5,0.880873279544376,FALSE,-0.12815,-0.119126720455624,FALSE,FALSE
3,0.1,0.5,0.8,1,0.8,18,1,18,1,0.87135,0.124167852571609,0.35,1,5,0.874703369719981,FALSE,-0.12865,-0.125296630280019,FALSE,FALSE
3,0.1,0,0.8,1,1,22,1,22,1,0.86975,0.128520079031588,0.3,1,5,0.87327954437589,FALSE,-0.13025,-0.12672045562411,FALSE,FALSE
3,0.1,0.5,0.8,1,1,22,1,22,1,0.86335,0.142896075052138,0.2,1,5,0.871855719031799,FALSE,-0.13665,-0.128144280968201,FALSE,FALSE
3,0.1,0,0.5,1,1,25,1,25,1,0.90005,0.120367729504724,0.35,1,5,0.895586141433317,FALSE,-0.09995,-0.104413858566683,FALSE,FALSE
