"Alpha","Lambda_min","Lambda_1SE_Adapted","CV_AUC_at_lambda_min","CV_SE_at_lambda_min"
0,0.0164229214663316,0.0379390786415058,0.92195,0.012270399507825
0.1,0.00168093695910018,0.0207233764923432,0.93315,0.0114681924807491
0.2,0.00309156225403662,0.0198727882155837,0.93375,0.0111559561285825
0.3,0.00299021832577873,0.021095399154257,0.93495,0.0112303092984466
0.4,0.00518084412308579,0.0173641308970353,0.93515,0.0112701995527667
0.5,0.00285676391308241,0.0115328052208495,0.93755,0.010695576522229
0.6,0.00314706147346372,0.0115760872646902,0.93955,0.0107391829773223
0.7,0.00324912573102778,0.0131167766515093,0.93955,0.0107391829773223
0.8,0.00342438551504775,0.0125961904094946,0.94055,0.0107105445849463
0.9,0.00441617515901859,0.0134863608373422,0.93975,0.0102233351521239
1,0.00632861974627711,0.012137724753608,0.941,0.00977736870407934
