"Feature","Estimate","OddsRatio","Nonzero","Microbe"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcus.s__Peptostreptococcus_stomatis",54.9016287892088,6.97387936543485e+23,TRUE,"Peptostreptococcus Peptostreptococcus_stomatis"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.s__Desulfovibrio_piger",13.8461449674956,1031108.47154163,TRUE,"Desulfovibrio Desulfovibrio_piger"
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_nucleatum",9.23896992330017,10290.4331612345,TRUE,"Fusobacterium Fusobacterium_nucleatum"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_Family_XIII_Incertae_Sedis.g__Mogibacterium.s__Mogibacterium_timidum",8.65890205317337,5761.20569119543,TRUE,"Mogibacterium Mogibacterium_timidum"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Hungatella.s__Hungatella_hathewayi",4.1425585188584,62.9637093818807,TRUE,"Hungatella Hungatella_hathewayi"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bicirculans",-3.59688770456859,0.0274088944152469,TRUE,"Ruminococcus Ruminococcus_bicirculans"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",-2.96362037450125,0.0516316524750211,TRUE,"Lachnospiraceae_unclassified Eubacterium_rectale"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor.s__Flavonifractor_plautii",2.71502777217466,15.1050295655896,TRUE,"Flavonifractor Flavonifractor_plautii"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis",2.7070271612363,14.9846622489145,TRUE,"Bacteroides Bacteroides_uniformis"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Turicimonas.s__Turicimonas_muris",-2.48936522564109,0.0829626124033955,TRUE,"Turicimonas Turicimonas_muris"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_wexlerae",-1.4156130248168,0.242776739655389,TRUE,"Blautia Blautia_wexlerae"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Intestinibacter.s__Intestinibacter_bartlettii",-1.38109317030476,0.251303685122343,TRUE,"Intestinibacter Intestinibacter_bartlettii"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_hadrus",-1.30781203864707,0.270411058549482,TRUE,"Anaerostipes Anaerostipes_hadrus"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae.g__Oscillibacter.s__Oscillibacter_sp_CAG_241",-0.969933260864079,0.379108338622062,TRUE,"Oscillibacter Oscillibacter_sp_CAG_241"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans",0.887551965084334,2.42917565964252,TRUE,"Ruthenibacterium Ruthenibacterium_lactatiformans"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius",-0.824100774431273,0.438629241808264,TRUE,"Streptococcus Streptococcus_salivarius"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_hallii",0.549235701086332,1.73192880058211,TRUE,"Eubacterium Eubacterium_hallii"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__Bilophila_wadsworthia",-0.454216533402131,0.634945231508461,TRUE,"Bilophila Bilophila_wadsworthia"
"k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas.s__Parvimonas_micra",0,1,FALSE,"Parvimonas Parvimonas_micra"
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Dialister.s__Dialister_pneumosintes",0,1,FALSE,"Dialister Dialister_pneumosintes"
