"Alpha","Lambda","Evaluation_1","Evaluation_2","Evaluation_3","Evaluation_4","Evaluation_5","Evaluation_6","Evaluation_7","Evaluation_8","Evaluation_9","Evaluation_10","Evaluation_11","Evaluation_12","Evaluation_13","Evaluation_14","Evaluation_15","Evaluation_16","Evaluation_17","Evaluation_18","Evaluation_19","Evaluation_20","Evaluation_21","Evaluation_22","Evaluation_23","Evaluation_24","Evaluation_25","Evaluation_26","Evaluation_27","Evaluation_28","Evaluation_29","Evaluation_30","Evaluation_31","Evaluation_32","Evaluation_33","Evaluation_34","Evaluation_35","Evaluation_36","Evaluation_37","Evaluation_38","Evaluation_39","Evaluation_40","Evaluation_41","Evaluation_42","Evaluation_43","Evaluation_44","Evaluation_45","Evaluation_46","Evaluation_47","Evaluation_48","Evaluation_49","Evaluation_50"
0,149.639543867309,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,136.345979214002,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,124.233378205895,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,113.196827287621,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,103.140733134918,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.72,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,93.977994670984,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,85.6292486386206,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,78.022182193664,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,71.0909065657238,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,64.7753863611736,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,59.0209195652926,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,53.7776637395826,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,49.0002043104101,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,44.6471612096953,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,40.6808304605586,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,37.0668576035095,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
0,33.7739401345541,0.95,0.65,1,0.88,0.85,0.88,1,0.75,0.9,0.8,0.75,1,0.8,0.8,1,0.75,0.92,0.92,0.875,0.88,0.8,0.92,0.875,0.92,0.95,0.8,0.95,0.88,1,0.85,0.76,0.75,0.95,1,1,0.76,1,0.95,0.9,1,0.76,0.85,1,1,1,0.7,0.9375,1,0.88,0.8
