"Metric","Lower_95_CI","Upper_95_CI","Model","Cohort"
"Accuracy",0.590909090909091,0.954545454545455,"LogisticRegression","Internal_Test_22"
"Precision",0.538461538461538,1,"LogisticRegression","Internal_Test_22"
"Sensitivity",0.5,1,"LogisticRegression","Internal_Test_22"
"Specificity",0.5,1,"LogisticRegression","Internal_Test_22"
"F1",0.555555555555556,0.947368421052632,"LogisticRegression","Internal_Test_22"
"MCC",0.182574185835055,0.9114654303753,"LogisticRegression","Internal_Test_22"
"AUC",0.483333333333333,0.966874999999999,"LogisticRegression","Internal_Test_22"
"Accuracy",0.590909090909091,0.954545454545455,"RandomForest","Internal_Test_22"
"Precision",0.538461538461538,1,"RandomForest","Internal_Test_22"
"Sensitivity",0.5,1,"RandomForest","Internal_Test_22"
"Specificity",0.5,1,"RandomForest","Internal_Test_22"
"F1",0.555555555555556,0.947368421052632,"RandomForest","Internal_Test_22"
"MCC",0.182574185835055,0.9114654303753,"RandomForest","Internal_Test_22"
"AUC",0.591666666666667,0.983541666666666,"RandomForest","Internal_Test_22"
"Accuracy",0.545454545454545,0.909090909090909,"SVM","Internal_Test_22"
"Precision",0.5,0.9,"SVM","Internal_Test_22"
"Sensitivity",0.5,1,"SVM","Internal_Test_22"
"Specificity",0.416666666666667,0.916666666666667,"SVM","Internal_Test_22"
"F1",0.526315789473684,0.909090909090909,"SVM","Internal_Test_22"
"MCC",0.0999182541670334,0.833333333333333,"SVM","Internal_Test_22"
"AUC",0.575,0.991666666666667,"SVM","Internal_Test_22"
"Accuracy",0.590909090909091,0.863636363636364,"XGBoost","Internal_Test_22"
"Precision",1,1,"XGBoost","Internal_Test_22"
"Sensitivity",0.1,0.7,"XGBoost","Internal_Test_22"
"Specificity",1,1,"XGBoost","Internal_Test_22"
"F1",0.181818181818182,0.823529411764706,"XGBoost","Internal_Test_22"
"MCC",0.239045721866879,0.748331477354788,"XGBoost","Internal_Test_22"
"AUC",0.65,0.983333333333333,"XGBoost","Internal_Test_22"
