"Iteration","Features_Selected","Original_20_Recovered","Warning_Count"
1,12,11,15
2,15,12,16
3,14,12,15
4,13,13,15
5,17,12,15
6,15,10,15
7,17,13,15
8,17,11,15
9,18,14,16
10,13,12,15
11,21,15,16
12,19,14,20
13,13,11,15
14,16,14,15
15,12,12,15
16,15,11,15
17,9,7,15
18,16,13,15
19,13,10,15
20,16,13,15
21,13,10,15
22,11,8,15
23,18,15,15
24,17,14,15
25,19,16,15
26,14,13,15
27,21,15,15
28,14,12,15
29,14,11,15
30,19,15,15
31,11,8,15
32,15,10,16
33,15,11,15
34,16,10,15
35,12,12,15
36,15,11,16
37,13,12,15
38,15,13,15
39,22,13,18
40,20,12,15
41,22,17,15
42,14,12,15
43,18,14,17
44,16,12,15
45,16,11,15
46,16,13,15
47,15,11,16
48,19,12,16
49,16,12,15
50,12,10,15
51,14,13,15
52,15,13,15
53,11,9,15
54,18,14,17
55,17,15,17
56,13,9,17
57,16,13,15
58,12,11,15
59,12,10,15
60,14,10,15
61,17,13,15
62,18,12,19
63,18,13,15
64,17,15,15
65,15,13,15
66,17,11,15
67,19,14,15
68,14,13,15
69,14,11,15
70,12,11,15
71,16,12,16
72,12,8,15
73,14,8,15
74,16,14,15
75,15,12,15
76,13,10,15
77,20,15,16
78,16,14,15
79,17,11,16
80,13,11,15
81,18,13,16
82,16,13,15
83,18,11,15
84,20,15,16
85,13,11,16
86,12,10,15
87,16,10,15
88,17,13,15
89,16,14,15
90,21,16,15
91,13,11,15
92,12,9,15
93,17,11,15
94,14,9,15
95,18,13,15
96,14,10,15
97,20,13,15
98,11,11,15
99,17,14,15
100,12,11,15
101,10,8,15
102,13,12,15
103,15,13,16
104,15,10,15
105,17,13,15
106,16,10,15
107,14,12,15
108,13,12,15
109,14,10,15
110,19,15,15
111,13,11,15
112,13,12,15
113,15,11,15
114,14,8,15
115,13,12,15
116,19,11,15
117,12,12,15
118,15,12,15
119,13,12,15
120,18,14,15
121,17,14,15
122,13,10,15
123,14,10,15
124,18,16,15
125,14,11,15
126,14,12,15
127,14,10,15
128,18,14,15
129,11,9,15
130,16,14,15
131,15,13,15
132,13,12,15
133,16,12,15
134,13,11,15
135,17,14,15
136,15,9,15
137,19,12,15
138,13,11,15
139,15,10,15
140,19,11,15
141,15,10,15
142,14,13,15
143,15,12,15
144,15,12,15
145,11,11,15
146,16,12,15
147,11,11,15
148,16,11,15
149,19,14,17
150,15,13,16
151,14,11,15
152,20,15,17
153,15,12,15
154,20,14,16
155,19,16,15
156,14,11,15
157,18,13,15
158,15,15,15
159,15,10,15
160,20,15,15
161,16,13,15
162,16,11,16
163,19,14,15
164,12,11,15
165,14,12,15
166,23,15,19
167,10,10,15
168,14,12,16
169,11,9,15
170,12,11,15
171,16,13,15
172,19,12,15
173,14,11,15
174,20,13,15
175,14,12,15
176,14,12,15
177,19,14,15
178,15,13,15
179,14,13,15
180,18,15,15
181,16,11,15
182,16,8,15
183,16,14,15
184,16,12,18
185,13,12,15
186,18,15,16
187,13,13,15
188,13,11,15
189,17,15,15
190,15,15,15
191,13,12,15
192,15,12,15
193,13,10,15
194,15,10,15
195,19,13,15
196,9,9,15
197,12,10,15
198,16,13,15
199,17,13,15
200,16,14,15
