"Repeat","OuterFold","Model","N_OuterTrain","N_OuterVal","N_Selected_Features","AUC","Accuracy","Sensitivity","Specificity","Precision","F1","MCC"
1,1,"BinaryLogistic",83,9,13,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
1,1,"RandomForest",83,9,13,1,1,1,1,1,1,1
1,1,"SVM",83,9,13,0.7,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
1,1,"XGBoost",83,9,13,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
1,2,"BinaryLogistic",83,9,18,0.7,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
1,2,"RandomForest",83,9,18,0.55,0.555555555555556,0.5,0.6,0.5,0.5,0.1
1,2,"SVM",83,9,18,0.6,0.444444444444444,0.5,0.4,0.4,0.444444444444444,-0.1
1,2,"XGBoost",83,9,18,0.65,0.444444444444444,0.5,0.4,0.4,0.444444444444444,-0.1
1,3,"BinaryLogistic",83,9,19,0.55,0.555555555555556,0.5,0.6,0.5,0.5,0.1
1,3,"RandomForest",83,9,19,0.95,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
1,3,"SVM",83,9,19,0.7,0.444444444444444,0.25,0.6,0.333333333333333,0.285714285714286,-0.158113883008419
1,3,"XGBoost",83,9,19,0.7,0.555555555555556,0.5,0.6,0.5,0.5,0.1
1,4,"BinaryLogistic",82,10,21,0.5,0.5,0.2,0.8,0.5,0.285714285714286,0
1,4,"RandomForest",82,10,21,0.52,0.6,0.2,1,1,0.333333333333333,0.333333333333333
1,4,"SVM",82,10,21,0.52,0.5,0.2,0.8,0.5,0.285714285714286,0
1,4,"XGBoost",82,10,21,0.64,0.7,0.4,1,1,0.571428571428572,0.5
1,5,"BinaryLogistic",83,9,17,0.9,0.777777777777778,1,0.6,0.666666666666667,0.8,0.632455532033676
1,5,"RandomForest",83,9,17,0.9,0.777777777777778,1,0.6,0.666666666666667,0.8,0.632455532033676
1,5,"SVM",83,9,17,0.6,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
1,5,"XGBoost",83,9,17,0.9,0.666666666666667,0.75,0.6,0.6,0.666666666666667,0.35
1,6,"BinaryLogistic",82,10,14,0.84,0.9,0.8,1,1,0.888888888888889,0.816496580927726
1,6,"RandomForest",82,10,14,0.68,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
1,6,"SVM",82,10,14,0.68,0.6,0.6,0.6,0.6,0.6,0.2
1,6,"XGBoost",82,10,14,0.72,0.7,0.6,0.8,0.75,0.666666666666667,0.408248290463863
