"InnerFold","Model","Best_mtry","Best_sigma","Best_C","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","best_nrounds"
1,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"SVM",NA,0.02,4,NA,NA,NA,NA,NA,NA,NA
1,"XGBoost",NA,NA,NA,5,0.1,0,0.7,1,0.8,1000
2,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"SVM",NA,0.01,1,NA,NA,NA,NA,NA,NA,NA
2,"XGBoost",NA,NA,NA,2,0.05,0,0.7,1,0.8,1000
3,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"SVM",NA,0.02,1,NA,NA,NA,NA,NA,NA,NA
3,"XGBoost",NA,NA,NA,2,0.1,0,0.7,1,0.8,1000
4,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"SVM",NA,0.01,4,NA,NA,NA,NA,NA,NA,NA
4,"XGBoost",NA,NA,NA,5,0.05,0,0.7,1,1,1000
5,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"SVM",NA,0.02,2,NA,NA,NA,NA,NA,NA,NA
5,"XGBoost",NA,NA,NA,2,0.1,0,0.7,1,0.8,1000
1,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"SVM",NA,0.01,1,NA,NA,NA,NA,NA,NA,NA
1,"XGBoost",NA,NA,NA,3,0.05,0,0.7,1,0.8,1000
2,"RandomForest",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"SVM",NA,0.01,0.5,NA,NA,NA,NA,NA,NA,NA
2,"XGBoost",NA,NA,NA,5,0.05,0,0.7,1,1,1000
3,"RandomForest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"SVM",NA,0.01,2,NA,NA,NA,NA,NA,NA,NA
3,"XGBoost",NA,NA,NA,3,0.05,0,0.7,1,0.8,1000
4,"RandomForest",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"SVM",NA,0.02,0.5,NA,NA,NA,NA,NA,NA,NA
